UserName,Tweet
"Demetre24450577","RT @TheDanielClark: What a great man -- Going the Distance: Biking 900 Miles, Raising $156k For Young Sandy Victim - @ABC News http://t.co/"
"naimaprovo","#football and #yoga Anthony's perfect day if you add in basketball #yogakids http://t.co/owvg0R7PIu"
"LouisBJames","#SuperBowl what?! Come to @louisbjames tonight from 6-8 PM for #offwhitedesert #noragriffin http://t.co/3a99HnSCBa"
"Khantimur","Turkey Says Assad Pursuing Starvation Strategy Against Opponents http://t.co/jf6pPedTbp #civil_vision"
"AJ_TheCreator","It didn't snow at my house?"
"finnepps","RT @matt_mcmillan_: Seahawks are too overrated and the broncos are too underestimated"
"AdamHeis6","RT @RSherman___25: I'M THE BEST CORNER IN THE NFL!I'm so confident in the Seahawks D that if we don't win on Sunday, I'll give $50 to eve"
"ElectronicaFest","RT @ultrarecords: Get pumped @Broncos @Seahawks. It's Game Day! We made you a playlist #HitPlay #SuperBowlSunday #SuperBowlXLVIII http://t."
"sashasusant","RT @AngelAlessandra: Who is excited for an all new episode of @NewGirlonFOX today after the #superbowl? http://t.co/N449ArqAAp"
"hennlittlehenny","I have another 10 tweets till my second 5k"
"magrob_","RT @ClassicPict: Tornado meets a rainbow: http://t.co/bK5whgaQbx"
"Rockyyyy__","I know there's gonna be a SuperBowl party at my grandma's house with a BUNCH of food "
"SunshineNipplez","Today's episode of football is really important cuz while I'm out grocery shopping during the game, nobody else is there getting in my way."
"TaraLynnFoxx","RT @mofowear: The Super Shapely Thighs of Mofo Wear Girl @TaraLynnFoxx to go wit da #SuperBowl - http://t.co/fc4sd10jbU"
"manit00slim","@BackWoodsEk I don't like watching football "
"AlliDoIsQUINN13","I want the snow storm to hit us but I would also be perfectly content with this weather the rest of winter"
"Aisha4567","Charlie and the chocolate factory"
"esty_verenich","RT @tyrabanks: Smizing Seahawks or Booching Broncos? #SuperBowl"
"Makavelli1312","another banner Bayern Ultras today. Football Is Everything including gay. http://t.co/U1Uxz7ByAm"
"EsporteNow","[#Bahia] Fs dos Seahawks tem ingressos roubados e ganham nova chance: Duasfs doSeattle Seahawks, Nicole Hi... http://t.co/DgLJ9m8QX0"
"birdingfrontier","Beautiful, vagrant and sometimes perplexing winter Eiders: @jonathanfarooqi http://t.co/s8JIugUama http://t.co/L6OnIAKXca"
"HeatherMauricio","I'm earning #mPOINTS Rewards in The Weather Channel. http://t.co/xzZ2Bvgx65"
"10cSugarMag","RT @WSJ: Breaking: Actor Philip Seymour Hoffman found dead in Manhattan apartment. http://t.co/tYCeELTJqc"
"Rawesttt","RT @guccii1017: Seattle Seahawks gonna win da super bowl. if they dont ill send send everyone who retweets dis tweet 40$ at the end of da s"
"analy555","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"nikkijade04","RT @BieberBeautyyy: This pisses me off that this isnt on the news but if it was justin it would be a different story smh http://t.co/gBSbdp"
"djspooky","Neopagan! @pepsi Are you hyped for #Halftime?The Pepsi #SuperBowl XLVIII #Halftime Show tonight #GetHyped http://t.co/ixeJMT01v7"
"lovefroggytokki","Would you go to Korea to meet your bias?  I would love to travel and esp to Korea, not just to meet my bias but... http://t.co/iJlZaNhtt5"
"RennyRozay","@SportsCenter: Seahawks super fan Kalee Buetow is 3 years old. She knows every player on Seattle's roster http://t.co/fBRdhEXetv aw cute!"
"Gingerk96","My brother and everyone is going to the Seahawks and I'm just over here like wooo go broncos"
"Bryant_Pineda__","RT @iHateSJD: RT for Broncos - Fav for Seahawks#SuperBowlXLVIII"
"sammyval2012","RT @clusterposts: Broncos vs. Seahawks (Retweet for Broncos, Favorite for Seahawks)"
"ajrush24","RT @SportsCenter: RT if the Broncos will win Super Bowl XLVIII. http://t.co/4xQFA3Oipj"
"___CieloJ","RT @_MARVUS: 6 more weeks of winter  fuck that damn ground hog"
"DareenBazzi","@Nashgrier not the superbowl..."
"SimplyJaee","#nw walking dead . #zombiebowl cause Ion like football lol"
"AmyHelf","Weather completely affects my mood"
"amyoxoxo_","I only Watching h the Superbowl cus I like the commercials"
"olawale_sax","Chocolate comes from cocoa,which is a tree. That makes it aplant. Chocolate is salad."
"arianneoo1991","RT @BuzzFeed: BREAKING: Actor Philip Seymour Hoffman Found Dead In His Manhattan Apartment http://t.co/K8cA9L73Rm http://t.co/hPvggwjTah"
"MemoMurga","RT @renatagarzam: Broncos SB XLVII"
"HannahMoriahMac","RT @efarrell42: I'm not going to pretend to like the Broncos or the Seahawks just b/c today is the Super Bowl sorry"
"mtacca123452","Lets go broncos!"
"Texas_boi_Tee","Texas Tee - Don't Mess With Texas  http://t.co/JStaPkWtSk#SuperBowl#PunxsutawneyPhil#UFC169#CamTo1Mill#DukevsCuse#MIXTAPE #RETWEET"
"who_is_rebekah","After going on a long bike ride yesterday and a long walk today I now realise why I don't exercise often, sooooooo tired"
"fycuzike","@DeniixxXx Ecuador?s Tungurahua volcano erupts, spews ash: Ecuador?s Tungurahua volcano erupted at least three times ...  @worshipcameron"
"Frank_Cortez","Tranquilo en casa viendo los 10 Mejores SuperBowls de la historia en TDN Univisin agarrando calor para el juego de mis Broncos"
"_itsKdot","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"teamvsn","No. 17-rated Southern Poly begins 2014 season with doubleheader sweep of 15th-ranked Lindsey Wilson; same squads meet on Sunday - News..."
"HTran_","RT @Sheadixon: Two 2014 Dutchtown standouts. RT @dutchtown1 Corey McBride and Torrance Mosley commit to play football at TCU next year."
"Schorsch92","RT @suethebeat: Snow on the hills in the distance. http://t.co/65PX1cKAlP"
"ciaradavon","RT @emilyjaquez: As a Bronco fan, it feels like Christmas morning "
"HeatAintShit_","I hate how every one tweets TOUCHDOWN on the superbowl like Stfu we know everybody watching it. Shit."
"jsebasvarela31","@renaisathugx3: I hate this weather omfg * love"
"mortiz4406","RT @GarrettHandley2: Broncos"
"ayy_wey_miguel","RT @AthleteStory: RETWEET if you think the Seahawks will win the Super Bowl! http://t.co/48aF9SH0vu"
"MeriiCrazy4U","Chocolate *-* http://t.co/RrC5AvGcux"
"jeverettesports","RT @HermanKickology: Morten Andersen fails to make Pro Football Hall of Fames Class of 2014 http://t.co/8fi2U0Wa1y #NFL"
"TG_700","I'm like Pablo in his prime shoulder deep in the snow"
"crackerjacks127","@MRodOfficial Broncos, k, I love them"
"_fxrn","me and izzy made ultra gooey chocolate brownies and they are the nicest things ever we deserve an award"
"EmilyGe88887623","Puzzler christmas present products on behalf of available is nice: izlJFhl"
"Tatianaaaa__","RT @____taeee: Dis weather perfect for everyday kill "
"david_applebaum","RT @Lord_Voldemort7: Punxsutawney Phil is trending. Trusting a groundhog to predict the weather sounds like something only Luna Lovegood "
"2nickraynor","@1Lacrosse SEAHAWKS 28-17"
"Cole_Belle","RT @WSJ: Breaking: Actor Philip Seymour Hoffman found dead in Manhattan apartment. http://t.co/tYCeELTJqc"
"gracenigro","RT @AudiPolo: Congratulations to Team Cartier for the win at @polostmoritz World Cup on Snow tournament! #PoloStMoritz2014 http://t.co/nE9j"
"AlexG_12","RT @nicoleandbri: Who's got the @broncos & who's got the @Seahawks ?!?! @SuperBowl @NFL @WWE #BellaBowl http://t.co/RZz8FXdLpQ"
"Shakell_August","RT @BeccaPalmer12: It's Superbowl Sunday? Ohh.. Please excuse me while I don't give a single fuck."
"LiterallyLouis_","RT @NiallOfficial: SuperBowl tonight !"
"BabyQuiltbyE","Pssst!This season's secret specials https://t.co/29pjAxtu4u  #holiday #handmade"
"mrbrodybrown","! RT @WSJ: Breaking: Actor Philip Seymour Hoffman found dead in Manhattan apartment. http://t.co/FwrIYe8gzm"
"Brucey_Bruce51","RT @LiveToPlayFB: What great weather for a Super Bowl! #SuperBowlXLVIII"
"yannivmbiango","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"acm3003","H-O-R-R-I-B-L-E el uniforme de Liga!!! No solo esos bordes rojos sino ese auspicio tropical en amarillo de la espalda. MUY FEO!!!"
"Nordic_News","Finnish Defence Forces recruit more women for int'l crisis management http://t.co/a22yv6gcgR Yle News"
"luisghshort","Chocolate Periodic Table  How To Live With Diabetes: http://t.co/38fMIbaD8m"
"khirye90","RT @TheUrbanMusicSc: Jessica Reedy's New Single, Better is AVAILABLE NOW  LISTEN TO NEW SINGLE! http://t.co/vXb7kJ398v"
"mutsucity","RT @whalumlove: @SoccerKingJP: MF2 http://t.co/3kM1PZGLij http://t.co/xIxM5muuOQ"
"MaryCateKapop","RT @ieatanddrink: BREAKING: They forgot the football for the Super Bowl. Players ordered to just pretend there's a ball. Ratings expected"
"yabitchkatrina","RT @RoyalChyness:  DENVER BRONCOS  SUPER BOWL SUNDAY "
"Marcus_MJM","RT @The_Race_Draft: BREAKING: Blacks release Chris Bosh after he appeared on the Judge Joe Brown Show. http://t.co/NXjlZb3lnt"
"Midget27","RT @Isaac_71: Broncos game day baby been waiting for another Super Bowl appearance lets do this!!!"
"johnbeckscousin","Breaking out my chiefs gear on Super Bowl Sunday #NoShame"
"Meance2_society","The Seahawks still gonna win doe"
"Lil_Light_Skinn","RT @STEEZas_iplease: @Lil_Light_Skinn then you will be sleeping in the snow if you come at me. "
"Madero84","Noche de #SuperBowl !!!!"
"sarahbethh123","RT @SportsCenter: RT if the Broncos will win Super Bowl XLVIII. http://t.co/4xQFA3Oipj"
"bishopballa33","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"VMM_20","http://t.co/a5rCURBvK7 FIFA Football [PS Vita]"
"Vanhelsingjr4","Superbowl Sunday Bitches!!!!!!!!!! LETS GO SEATTLE SEAHAWKS!!!!!!! Best day of the year"
"belle_nicoleeee","RT @MaryDashAnn: Loving the weather"
"schules81","RT @BMS_quotes: the superbowl will be childsplay compared to the cornfield game"
"TxHorseracing","RT @BreedersCup: Best of Luck to @WesWelker and @johnelway in the #SuperBowl - pic taken at #BC13 @santaanitapark -  #bcambassadors http://"
"_UneMetisse","RT @FoodPornsx: Chocolate Coated Ice Cream Cone http://t.co/cV29k4gB6T"
"niken_gaul","#news Martino Ingin Barca Kurangi Kesalahan http://t.co/oIu5GCJBpo"
"juiceybasedgod","BEST BIRTHDAY EVER TOMORROW IF THE BRONCOS WIN"
"ifrazer99","RT @NiallOfficial: SuperBowl tonight !"
"WeareXjapan","The legendary J-Rocker Yoshiki ll give his first concert in #Russia http://t.co/q24ShI0qsn @YoshikiOfficial #News about #YoshikiClassical"
"stephany5253","RT @KortlandWhalum: Can't wait to see @kameronwhalum & Bruno Mars tonight! #SuperBowl"
"Bt_ionB_Karynn","@ROLLINNN_STONED I think we still gonna have a few more weeks of bad weather .. I think I heard my mama say that right .."
"ohitskailey","if any of y'all root for the broncos you're being disowned"
"NateKoerner","RT @guccii1017: Seattle Seahawks gonna win da super bowl. if they dont ill send send everyone who retweets dis tweet 40$ at the end of da s"
"_Navib","I bet #Broncos are going to take the win"
"Jeanettevanzyl","RT @neverknownfacts: The crown princess of the Netherlands goes to a public school. She goes on her bike often with her mother and father ("
"tourwifetravels","RT @SportsCenter: RT if the Broncos will win Super Bowl XLVIII. http://t.co/4xQFA3Oipj"
"Jstthtguy","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"OSIRUS4U","Condemning terrorist, one should have a #Balls to do that. #Welldone fellow Pakistanis."
"_jacqqqqq_","Dark chocolate chip pancakes "
"joshmccraven","RT @SportsCenter: RT if the Broncos will win Super Bowl XLVIII. http://t.co/4xQFA3Oipj"
"tmsnbb","RT @kfvsweather: Winter Storm Warning for portions of the KFVS viewing area in IL until 3:00am CST Monday. http://t.co/pinNTia7xQ"
"Bonafidemc","#superbowl #ic4l #exclusiv #hypnotic #henny  go #seahawks http://t.co/8eo5MUSjUu"
"GeoffOstrander","RT @Kidd_Napp: Fun. Super bowl. Party. Drugs. Football. Touchdowns. Food. My house. Come"
"andywaffles","#BOLDpredictions Seahawks get double digit sacks on Peyton. At least 11"
"rockitdocket","Buses are loading, thank you future superbowl champs for staying in jersey city"
"HighSadityGirl","I'm going for the Seahawks I hope they win idk what it is it's just something bout dread heads that I love"
"RichTheDoc","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"jakesoflyy","RT @carley_pruden: I don't really give an f about the Superbowl, I just want to take massive amounts of Tyson's Anytizers to my face."
"pawuk1","''breaking bad breaking bad say my name quimica do mal, a parada  essa'' HUAHAUHAUHAUAHUAHAUHAUHAUHAUHA"
"_taaylorrb","RT @DriveOfAthletes: Retweet for BroncosFavorite for Seahawks http://t.co/ycRF6tVXja"
"zarryfluids","My brothers used me as a child. They made me keep score of their football games so that's how I learned to understand the game"
"DrGothican","Example twitter weather data 1:15 PM 55.0F 46 pct 1.4 mph SE2023wdisplay"
"deanmroth","RT @casequin: so what youre saying is, we're supposed to watch football... but beyonce's not gonna be there this time? sry i think there's "
"HawkInFlight22","RT @SportsCenter: RT if the Broncos will win Super Bowl XLVIII. http://t.co/4xQFA3Oipj"
"gorillafornia","I'm on that Seahawk grind! #SeahawkSunday #SuperBowl #Neon #12thMan #Seahawks http://t.co/IqbvTx16LQ"
"lovellpr","@7_Pizzas: It's #SuperBowl Sunday!  Purchase a large pizza and get a medium pizza w/same toppings FREE! http://t.co/dYQDonFwy7"
"Ollides","For Gus, and other reasons rhyming with Peyton Manning, today I am a Seahawks fan. I feel kinda dirty http://t.co/1Nw0PgsHMz"
"DejaChandre_","Reese puff, Reese puff, peanut butter chocolate flavoorr"
"NW_Livin","RT @TWERKITTLOVE: Superbowl party today ! Lets go Seahawks !!! "
"NKapanyuk","    )  http://t.co/SR2JRvMoeh"
"KayleaGoldman","RT @DylanPoor5: I really don't like all this snow. "
"DavidECohen_","My first order of business as President of the US: No school on Super Bowl Sunday. It's basically a holiday."
"Jordie_belike","I'm really not that hype for the superbowl"
"itsliyahhhhhh","RT @BRFMHeezy: Lol when I say somebody dead to me, they dead. RIP. No happy birthday. No merry Christmas. No happy New year. No texts. No c"
"hikmetslogic","RT @TweeterGeist: RT for Broncos. Fav for Seahawks. #SuperBowlSunday http://t.co/kRG0GLjSa3"
"djfizzy88","Willy Wonka & the Chocolate Factory ALWAYS makes me want chocolate!!!"
"alexis_dlc17","RT @MensPictures: Super Bowl Sunday! Who y'all got? Rt- BroncosFav- Seahawks http://t.co/PmHIgajB8c"
"FootyFans92Tour","RT @PremiereLeague: NBCSNs Transfer Deadline Day Program Failed to Live Up to Expectations #epl #football http://t.co/7CiWlYf7MX"
"reid328","RT @RapSheet: Coach #Broncos coach John Fox and Champ Bailey addressed the team for the final time. Baileys message: This game is bigger "
"ErinBorgeson","Maybe this year the lights will stay on #superbowl"
"Jizzzlin","RT @CHlLDHOODRUINER: girls watching the SuperBowl tonight http://t.co/IQSHoEiHTK"
"josiegriffinn","Working on Superbowl Sunday"
"ThisChickAubrey","RT @DerekM_: The only thing that sucks is after today, there's no more football. "
"Straight2hELLIS","@daboulcliff that answer is easy! Don't watch football !!"
"_Casey10","my prediction that tanner took,Seahawks 19Broncos 15"
"KylieMaeBarbee","Hot chocolate, movies, and spending time with my sissy #greatday"
"ayye_itz_jordan","@Nashgrier the Broncos beating the Seahawks"
"SEANBROWNJR_","Couldn't ask for better weather"
"Nat_Edwards1","@MrJayCrosby I think a week is just enough for a nonstop drinking holiday! .. Yeah deffo, Zante is a MUST! Ibiza next year for us  x"
"The_Frimeur_Man","Ce soir y a le SuperBowl je vais regarder mais je pourrais pas regarder en entier..."
"NVMG69","RT @BorjonWinery: TODAY ONLY for the #Superbowl Sunday Holiday we are offering #FREE GROUND SHIPPING in our web store at... http://t.co/XsA"
"tiffanyrockhold","Such a pretty, snowy, winter wonderland. @ Cleveland Hopkins International Airport (CLE) http://t.co/FbzNeThLhG"
"shae_hunn","RT @pepsi: Are you hyped for #Halftime?The Pepsi #SuperBowl XLVIII #Halftime Show is tonight, and not to be missed! #GetHyped http://t.co/b"
"CoreyFrogson","Whenever november rain comes on kerrang I instantly change the channel"
"jlongtx85","@the_las_samurai this is America we watch FOOTBALL!! #SuperBowlXLVIII"
"tgow3","fav for Broncos rt for Seahawks"
"GoldaqjQo9","Havana Jam 2: Shop for music deals on CDs, MP3 songs and albums, and vinyl records by Various Artists, Weather... http://t.co/y310086PPw"
"florian_vidal","Football Marseille - Valbuena ne se cherche pas dexcuses  lOM, mais - Ligue 1 - Foot 01: http://t.co/Pw4XsWREU7"
"garotobox","RT @UberFacts: The 2014 Winter Olympics http://t.co/w1fdx7zx0V"
"Christinacellag","@RSherman_25 Don't you ever talk about me!!! Bring it home #GoHawks #Seahawks #SB48 @KIRO7Seattle @Seahawks http://t.co/8xiVRrPGtb"
"Timmy_22_Regan","When are they just gonna make Super Bowl Sunday a national holiday??"
"Suraaahh","RT @ActingAnEejit: Ireland won the Superbowl!!!!"
"JustLikeKandi_","But I'll still be at a bar tonight. My sisters going for the Seahawks I'm low key going for the Broncos lol"
"King_Robertson8","RT @DylanBecerra15: @King_Robertson8: Seahawks gon take it tonite"
"jonathangarza12","RT @xmenmovies: Any other mutants ready for some football? #SuperBowl #XMen RT @SirPatStew Football! http://t.co/8Qwqckj2Dj"
"Mhd_Ghanda06","Bagusnya Requiem / Planets di buat MV, This Means War gak masalah juga lah @A7XIndo"
"ColorMeRed","Super Bowl 2014: The stars, performers and parties - CBS News http://t.co/XgCmbii0QO #SuperBowlSunday"
"NiCESTORYBRO__","I was strong but am I breaking now ?"
"MattyIreland82","RT @SXRavens: @LWillson_82 will score a TD today and the Seahawks will win the Super Bowl! Retweet if you believe it! #SXRavenAlum #WinTheS"
"Aaron_Mayberry","Peyton is gonna expose this Seahawks D #boldprediction"
"connerm72","Superbowl Sunday"
"taohunni","i remember my cousin asked me whats homestuck out of the blue during christmas and i juST OH,,,SWEATS,,, LET ME TELL U ABOUT HOMESTUCK"
"nikkinana","@kdc yes, so far. I got it for Christmas so haven't played with it a ton yet. It has improved the sound quality of my recordings & playback."
"EHM_DUBYA300","You have to be some kind of special if I cook for you in cold weather."
"salazar1_karina","So there's gonna be a thunderstorm..? "
"MeganKinsman1","RT @HalifaxRFC: Nothing like a Celtic Corner breakfast while enjoying an #6Nations game. #rugby>football http://t.co/IOfPKc4DJt"
"J__Homer22","Well technically the Eagles and Seahawks are both ferocious birds. Rooting for the Seahawks. #BirdGang"
"LaVenexolanita","<<---- No sabe nada de #SuperBowl o.O"
"gg_rainey","RT @heyyouapp: #USA  #NEWS  http://t.co/WtSfOKrqzU #HOT #NEWS 354 #Cycloramic #Cycloramic hits #top #of #App #Store #after #Shark #Tank #a"
"Supperstudio","Do you know the latest news about Supperstudio? #branding #packaging http://t.co/5MUjry74Ij"
"IanCorona","RT @Seahawks: SEA!! HULK!!! Has to wait in security lines too. The scene at @NJTransit's Secaucus Junction. #SB48 http://t.co/I4s6jXp6Jy"
"ItsAnthonyBro","RT @_Reyes_28: Seahawks hands down have the freshest Jerseys in the NFL"
"JustMe_Jada","RT @_webreezy: If Broncos Win 19-14 I'm going straight to Church cause this worlds done!!! http://t.co/i2xwywiCG1"
"aIevae","Where do you get your news? RT for twitter. Fav for blogs."
"CheMarungo","@N4GPodcast Niners are out of it, I'm going Broncos!! Also, Tomb Raider is badass. I love that game a lot. GOTY for me if I played it LY :)"
"Kyle_Eggen","RT @BlakeARussell: I hate that Peyton Manning and Sylvester Williams play for the Broncos. I hate it, I hate it, I hate it!"
"JimmyAllOver","RT @l3ahpar: Superbowl is on tonight. Expect your Twitter feed to be full of people who've never watched a game in their lives pretending t"
"_Dzhared","I WON'T LET A GROUNDHOG DECIDE MY FUTURE. *rips clothes off and rolls in snow*"
"romamio","RT @politologija_: # #novosti # #news     #?    - https://t.co/RnQ0DIj0TG http://t"
"EdwardsAleah","RT @cantu_calista: Bipolar weather"
"BrenCMorris","Joe Namath Will Honor Fallen Warrior Chris Kyle, 'America's Deadliest Sniper' At Superbowl Coin Toss http://t.co/BqDbhZob97"
"RojasMJ1994","RT @jeffgallardo9: Nah Greenbrook don't got snow on it! We out? "
"BigJayThompson","If your not watching the superbowl tonight then go away"
"embencock_","I keep seeing people use this -->  as a football, please stop your retarded "
"_s75w","ugh..then I have to sit through a 3 hr football game too? lol"
"_narrykings_","RT @NiallOfficial: SuperBowl tonight !"
"BarbaraXLow","Indigenous Peoples reserve the right to define what is, and what is not, offensive to us. #NotYourMascot #SuperBowl #ChangeTheName"
"denise_1Dx","RT @NiallOfficial: SuperBowl tonight !"
"JanaEndriyan","RT @OfficialAERY_: @JanaEndriyan mungkin you ni lain dari yg lain laa .. Haha . Of course laa I nak jumpa you . I nak kick muka you yg jetj"
"Twofingers11766","RT @iTupacShakur: Don't assume. The quickest way to complicate a good situation is to flood it with assumptions."
"0ceancrest","@avvks too bad we are over goodbye don't text me don't call me im breaking up with you peace out"
"Emstarr2","@animal_eh broncos or die"
"bbjezel","RT @politologija_: #novosti #news # # # ,      https://t.co/JlrWXjIG0O http://t.co/uxlRcbSang"
"Juanito27_","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"Juss_Neshaa","RT @PrettyCamri: Ugly ass superbowl with them ugly ass teams & ugly ass players "
"cndougherty","It's my grandma's bday today and she didn't see her shadow; means both an early spring and all day complaints about cloudy weather"
"SkiWoodyVail","Beaver Creek Snow Report -- 02/02/14 http://t.co/ASk9klRN4m"
"dylan019978","RT @SportsCenter: RT if the Broncos will win Super Bowl XLVIII. http://t.co/4xQFA3Oipj"
"Rudyfaraj","@statechampsnet We need that & Football needs an added week of playoffs. 512 teams instead of 256. I know @Prepsportsguy would love that"
"NadineNonny","  -  -          : http://t.co/bl9BLgUN9U"
"davelanni","RT @instagram: The Week on Instagram  116 http://t.co/pqpINDIxHK"
"jconroy7","Superbowl sunday! "
"pLataNo_VSOP","I got 500 followers on the broncos what up"
"NTF_Tweet","RT @HEAcademy: [news] Lectures must add value if campus-based higher education is to continue http://t.co/lm7aYO5ub2 #HEAcademy"
"ofefernandez13","http://t.co/iJ1tFf2oPV ay como crecen"
"_PhillipSwanson","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"Viciousvic_46","RT @Oddsteven_: @Q1047: Who's going to win the #Superbowl?!?!! #Seahawks of #Broncos?!?! http://t.co/c3f4tBk86x http://t.co/btqc3vYFz9 Se"
"leamarie1804","RT @NiallOfficial: SuperBowl tonight !"
"Nwoods_7","Seahawks"
"Amici_diVini","@malakunin pazzesco! Non seguono altro che il calcio ma per il superbowl diventano tutti ridicoli appassionati! #rassagnato"
"ZayneAustin","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"PhillyPhils2012","@SportsCenter polluting airways w these celebrities - Attempting to talk football fumbling thru their convo #NoClue http://t.co/28YF1PqF4n"
"kaatiedeaarxoxo","RT @JohnEvans0990: In Texas Super Bowl Sunday Is A Holiday"
"Mr_love246","RT @AthleteEditz: RT if you have Marshawn Lynch and the Seahawks winning the Super Bowl! http://t.co/eCV0BbE6nM"
"connor_donohue","great day for some football!"
"nurse_austin","the only football i'm watching today is remember the titans "
"arabella199_9","Ready for the Super Bowl #Broncos #87  http://t.co/8VCHFSAlM0"
"izaiggynow","@NiallOfficial OMG, are you going?  Be careful!  Go Broncos!"
"revandanamo","RT @NiallOfficial: SuperBowl tonight !"
"DavidQuickBooks","RT @booksfortweens: coffee and chocolate chia seed pudding, #pudding #chocolate,  #chiaseedrecipes #chiaseeds http://t.co/kWcNdytQSp"
"jesdoherty","Go Broncos! #TeamPeyton"
"deutsch_david","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"WeKentStop","Literally two teams I don't care about but can't be more excited for this superbowl party."
"_nikkidanielle","@BritneyNicole_ I know! like are people really gonna come buy shoes in this weather?"
"CallMeSeasick","RT @_LuckyLefty8: I'll be collecting dollas once the broncos win tonight"
"tweetsports33","#News Texans looking to move down from No. 1 in draft http://t.co/UlWkfHJika"
"paolanava02","RT @iBiebersSwaag: Why isnt this breaking news? oh wait, it's not Justin Bieber http://t.co/2prwDMYcmL"
"alanabanahna","Reminiscing on some of my favorite Manning moments before Peyton and the Broncos stomp the Seahawks. [http://t.co/30SXIiscRQ]"
"ProfDauber","Obama Super Bowl Interview 2014: President Sitting Down With Fox News Ahead Of Big Game http://t.co/w05xhynsvk"
"LizzzElliott","RT @alyankovic: Remember, if Flea sees his own shadow during the halftime show, we get 6 more weeks of winter. #GroundhogDay"
"kjwhitey","Broncos #SuperBowlXLVIII"
"Melia_Alise","RT @SportsCenter: RT if the Seahawks will win Super Bowl XLVIII. http://t.co/AX6Y1n9xXW"
"YoungJezal","The rain ruins lives."
"mazzy_glass","I don't care about football"
"TMajdak","RT @kayleeerrrsss: i feel like all the teams are doing good this year except football"
"valerwine","RT @estefaaniaa_: Don't know & don't care about football but going for the Broncos just because of this hottie @EricDecker87  http://t.co/"
"writermiguel","praying for the broncos (and 2014-15 Cards) #xlvii (@ St. Louis Catholic Church) http://t.co/xToKghNlmF"
"AangiItaaliaII","#NP Tropical family - Flamme Axel tony ft Layanah"
"Miraanda_x","@MeganRocketz - :o It's an animal based play on football games. Just with puppies and kittens. (:"
"___erinj","I gotta taste for a big hot chocolate chip cookie. "
"paris_lover93","These chocolate peanut butter cupcakes are amazing! "
"Imsakura_","RT @BonitaByun_2194: [RT pls] [EXO] On the Rainy Night (Krisbaek) chapter 8 : Autumn Rain #ficrainynight http://t.co/9Wn9BZsP7y"
"tomlinSunxx","RT @HaroldTheType: Harry the type of kid that thinks chocolate milk comes from a brown cows"
"marcus_ray90","RT @SportsCenter: RT if the Broncos will win Super Bowl XLVIII. http://t.co/4xQFA3Oipj"
"MoaningAfrican","RT @DarthMime: 5 followers away from 5.5k followers :)"
"_ChySelena","I love how all these Broncos fans came out of nowhere. Lol. I fucking hate bandwagon fans."
"Brekayla_Noel","RT @DoitLikeJosh: Who y'all got tonight? RT for Seahawks Favorite for Broncos "
"LisaNotLynners","RT @UberFacts: The 2014 Winter Olympics http://t.co/w1fdx7zx0V"
"14_Emilyy","RT @shelby_sue12: Let's go broncos!!"
"RocioND5","RT @NiallOfficial: SuperBowl tonight !"
"TopFlightRento","38-31 Seahawks .."
"Brittitudeimagi","RT @UberFacts: People who feel depressed eat about 55% more chocolate than those who arent."
"BleakSuperior","@YourAnonNews: BREAKING NEWS: Actor Philip Seymour Hoffman found dead in Manhattan apartment. Oh shit"
"tvweeklyplus","San Diego TV Station Airs Unsettling Photo In Super Bowl Weather Forecast - Deadspin http://t.co/ceIia9ShBK"
"AdrienneShimojo","RT @DeboraBorn: Merry christmas."
"MexiKingArthur","RT @JeffreyGuterman: BREAKING NEWS: Philip Seymour Hoffman found dead in his apartmenthttp://t.co/KkOvA8j5vm"
"JessicaEntel","Have a fabulous #SuperBowl Sunday! #GoBroncos  http://t.co/ZQm5XBAgAb"
"leenie909","RT @brooklynkid1951: I like football and I will watch the game but don't you think a $9Billion industry can pay taxes? @nfl"
"Kwintell_Wright","I'm betting on Seahawks cause A) They're underdogs B) Sherman going on another WWE-ish win rant would be hilarious! lol #SuperBowlXLVIII #GM"
"belieavein1d","food here and food there......the Superbowl food is driving me nuts"
"PhilHornshaw","RT @Donski3: Oh god, I forgot to write Top 10 broncos and seahawks and footballs in videogames"
"drl","RT @WSJ: Breaking: Actor Philip Seymour Hoffman found dead in Manhattan apartment. http://t.co/tYCeELTJqc"
"MAKitnastyy","RT @bitchprblmz: Super Bowl Sunday, the only day out of the year that girls suddenly pretend to like football."
